00082300                                               Epic
00150A Fistful of Dollars                              Western
00242I Know What You Did Last Summer                   Horror
00108Quantum of Solace                                 Espionage
00013Gladiator                                         Epic
00131Trailer Park of Terror                            Horror
00160Diamonds are Forever                              Espionage
00208Uncommon Valor                                    War
00128Excalibur                                         Epic
00052Bad Teacher                                       Comedy
00286Dodgeball                                         Comedy
00093Old School                                        Comedy
00199Ted                                               Comedy
00037Avengers                                          Super-hero
00042The Spy Who Loved Me                              Espionage
00241The Campaign                                      Comedy
00167The Thing                                         Horror
00174The Good, the Bad, and the Ugly                   Western
00032Office Space                                      Comedy
00288Unforgiven                                        Western
00017Nightmare on Elm Street                           Horror
00027Animal House                                      Comedy
00281Friday the 13th                                   Horror
00196Alien                                             Horror
00203Pale Rider                                        Western
00230Halloween                                         Horror
00240Fellowship of the Ring                            Epic
00169Goldeneye                                         Espionage
00275Kelly's Heroes                                    War
00097Goldfinger                                        Espionage
00152Hangover                                          Comedy
00170Hangover Part 2                                   Comedy
00089Hang 'Em High                                     Western
00114Thor                                              Super-hero
00227Iron Man                                          Super-hero
00023Troy                                              Epic
00289Iron Man 2                                        Super-hero
00091Two Towers                                        Epic
00207Captain America                                   Super-hero
00158Horrible Bosses                                   Comedy
00099For a Few Dollars More                            Western
00252Casino Royale                                     Espionage
00163Austin Powers                                     Comedy
00101Outlaw Josey Wales                                Western
00247Witchboard                                        Horror
00245Patriot                                           War
00250Return of the King                                Epic
00233Your Highness                                     Comedy
00082Skyfall                                           Espionage
